Nama,Alamat,Kelurahan,Kecamatan,Kapasitas,Volume Masuk,Volume Dikelola,Volume Sampah Diolah,Volume Diangkut,Latitude,Longitude
TPS Menanggal YKP,Jl. Menanggal YKP,Menanggal,Gayungan,14,14,14,14,14,-7.3399132,112.723408
TPS Pagesangan,Jl. Pagesangan,Pagesangan,Gayungan,28,28,28,28,28,-7.338323,112.7168019
TPS Kayon,Jl. Kayon,Embong Kaliasin,Genteng,19.8,19.8,19.8,19.8,19.8,-7.2677425,112.7444055
TPS Pasar Genteng,Jl. Genteng Besar,Genteng,Genteng,26,26,26,26,26,-7.2585893,112.7386017
TPS Simpang Dukuh,Jl. Simpang Dukuh,Genteng,Genteng,26.4,26.4,26.4,26.4,26.4,-7.2585893,112.7386017
TPS Srikana,Jl. Srikana,Airlangga,Gubeng,26.4,26.4,26.4,26.4,26.4,-7.2728763,112.7573363
Rukom Srikana,Jl. Srikana - Universitas Airlangga,Airlangga,Gubeng,14,0.1,0.1,0.1,0,-7.2728763,112.7573363
TPS Bratang,Jl. Bratang Binangun,Barata Jaya,Gubeng,52.8,52.8,52.8,52.8,52.8,-7.3052645,112.7603334
TPS Barata Jaya,Jl. Baratajaya,Baratajaya,Gubeng,28,28,28,28,28,-7.2960594,112.7594578
Rukom Bratang,Jl. Manyar,Baratajaya,Gubeng,40,11.4,11.4,11.4,0,-7.2960594,112.7594578
Pemilahan Bratang,Jl. Manyar (Taman Flora),Baratajaya,Gubeng,5,850.1,850.1,470.4,0,-7.2960594,112.7594578
TPS Kangean,Jl. Kangean,Gubeng,Gubeng,19.8,19.8,19.8,19.8,19.8,-7.2725255,112.7489564
TPS Pasar Pucang,Jl. Pasar Pucang Anom,Gubeng,Gubeng,14,14,14,14,14,-7.2725255,112.7489564
TPS Kaliwaron,Jl. Kaliwaron,Mojo,Gubeng,29.7,29.7,29.7,29.7,29.7,-7.2713958,112.767093
Rukom Menur,Jl. Menur,Mojo,Gubeng,20,4.8,4.8,3.3,0,-7.2713958,112.767093
TPS Mojoarum,Jl. Mojoarum,Mojo,Gubeng,23.1,23.1,23.1,23.1,23.1,-7.2713958,112.767093
TPS Kalibokor,Jl. Kalibokor,Pucang Sewu,Gubeng,33,33,33,33,33,-7.2882032,112.7519619
TPS 3R Gununganyar,Jl. Gununganyar,Gunung Anyar,Gunung Anyar,20,257,257,135.4,0,-7.3390803,112.7890957
